loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.60732216,-8.68848421016269,1
0.49885646,-27.161070297057275,2
0.49276668,-31.229699057290173,3
0.48454803,-33.23147197379978,4
0.46684355,-34.48574007752921,5
0.4582556,-35.386497761720754,6
0.45081568,-36.075229197656476,7
0.43217072,-36.652993197562175,8
0.42299753,-37.15615485661701,9
0.41215557,-37.56962943829216,10
0.40451375,-37.98510196545883,11
0.3890369,-38.338133110208794,12
0.37893656,-38.63236097153348,13
0.36359045,-38.945988626961956,14
0.35617334,-39.22231414630554,15
0.3434818,-39.471448164042464,16
0.3357907,-39.68913723988911,17
0.33481932,-39.89219837819775,18
0.32105795,-40.01281446724496,19
0.31253734,-40.28215648810599,20
0.30839255,-40.41703348387263,21
0.2994086,-40.455287367846914,22
0.2905915,-40.75870555105745,23
0.28762075,-40.81640838677836,24
0.2760603,-40.99742852421595,25
0.27415872,-41.14602904944702,26
0.25871667,-41.22007480649711,27
0.25882,-41.35577785201365,28
0.24903631,-41.48786054338728,29
0.24659339,-41.5313730291233,30
0.22768469,-41.560006521518,31
0.22445504,-41.72510112264457,32
0.21937665,-41.80152259859925,33
0.20871584,-41.93048464356095,34
0.20549242,-42.05527984157346,35
0.20421723,-42.156742796466176,36
0.19760382,-42.225207132876115,37
0.19590013,-42.29178233023147,38
0.1955546,-42.33671201269087,39
0.19985238,-42.398432753886524,40
0.1913022,-42.37182407618853,41
0.19173619,-42.4617817241065,42
0.18844667,-42.566630596073814,43
0.18209788,-42.595031964286655,44
0.18997054,-42.70836970683213,45
0.18350957,-42.83108837600242,46
0.17795017,-42.90482643990371,47
0.1697537,-42.94030838130101,48
0.17227986,-42.928851188039374,49
0.17378826,-43.028355620218626,50
0.17123716,-43.14972641566497,51
0.17500475,-43.12187131131787,52
0.1715127,-43.20243427074087,53
0.17281727,-43.26752223807073,54
0.1667569,-43.224847144425055,55
0.16878065,-43.39028326221905,56
0.1606273,-43.41352143328017,57
0.16778451,-43.34969956338574,58
0.16742288,-43.41656844791433,59
0.1630245,-43.42391686685332,60
0.16140163,-43.64503146061747,61
0.16228664,-43.57125086367329,62
0.16274655,-43.59241535737595,63
0.15675375,-43.599264464338,64
0.15530226,-43.70833499005404,65
0.15331669,-43.76420920724959,66
0.15498035,-43.79687851824862,67
0.15776983,-43.95650649382598,68
0.15303878,-43.94905889569322,69
0.1526179,-44.00277882351207,70
0.15367937,-43.87864956558592,71
0.15631717,-44.02518567625575,72
0.14976767,-44.10751916298838,73
0.14600201,-44.17330418675029,74
0.15060051,-44.2339045947012,75
0.14911929,-44.11860437092337,76
0.15483376,-44.30610012378287,77
0.1518956,-44.272144669843165,78
0.15101963,-44.29774362779819,79
0.15083556,-44.389406843593896,80
0.15687343,-44.33415939710665,81
0.14268559,-44.36466812677767,82
